idurl,url,dia,mes,ano
6,www.infomoney.com.br/onde-investir/fundos-de-pensao-reduzem-deficit-para-r-93-bilhoes-em-julho-retorno-medio-esta-positivo-no-ano/,17,set,2020
23,www.infomoney.com.br/mercados/ibovespa-cai-seguindo-exterior-em-meio-a-preocupacoes-com-mensagem-do-fed-dolar-sobe-a-r-527/,17,set,2020
28,www.infomoney.com.br/mercados/petrobras-sofre-pressao-com-temores-sobre-petroleo-e-julgamento-no-supremo-mas-analistas-seguem-confiantes-com-estatal/,17,set,2020
39,www.infomoney.com.br/mercados/acao-da-rd-sobe-com-desdobramento-de-acoes-aprovado-vale-tem-baixa-com-forte-queda-do-minerio/,16,set,2020
40,www.infomoney.com.br/mercados/ibovespa-perde-novamente-os-100-mil-pontos-com-vale-e-apos-mais-um-dia-negativo-para-big-techs-dolar-cai-com-fed/,16,set,2020
63,www.infomoney.com.br/mercados/ibovespa-sobe-com-expectativa-de-que-fomc-reitere-discurso-tolerante-a-inflacao-dolar-cai-a-r-526/,16,set,2020
66,www.infomoney.com.br/mercados/ibovespa-futuro-sobe-com-expectativa-por-sinalizacao-de-tolerancia-a-inflacao-do-fomc-dolar-cai/,16,set,2020
73,www.infomoney.com.br/mercados/rd-desdobrara-acoes-oi-tem-geracao-de-caixa-positiva-klabin-convoca-assembleia-plano-plano-precifica-acao-e-mais/,16,set,2020
76,www.infomoney.com.br/mercados/os-5-assuntos-que-vao-movimentar-o-mercado-nesta-quarta-feira-160920/,16,set,2020
85,www.infomoney.com.br/mercados/acoes-da-minerva-sobem-forte-com-possivel-venda-de-parte-da-athena-vale-sobe-apesar-da-queda-do-minerio/,15,set,2020
86,www.infomoney.com.br/mercados/ibovespa-fecha-quase-estavel-com-politica-ofuscando-exterior-dolar-e-dis-sobem-com-fala-de-bolsonaro/,15,set,2020
100,www.infomoney.com.br/mercados/radar-infomoney-jair-bolsonaro-cancela-o-renda-brasil-veja-impactos-na-bolsa-do-fim-do-programa/,15,set,2020
106,www.infomoney.com.br/mercados/ibovespa-sobe-com-dados-fortes-da-china-mas-fala-de-bolsonaro-limita-ganhos-dolar-cai/,15,set,2020
111,www.infomoney.com.br/mercados/ibovespa-futuro-sobe-em-meio-a-dados-fortes-da-china-e-expectativa-por-reunioes-do-fed-e-do-copom/,15,set,2020
114,www.infomoney.com.br/mercados/petrobras-reduz-investimentos-entre-2021-e-2025-gol-deve-receber-proposta-do-bndes-oi-pode-entrar-em-leilao-de-5g-e-mais/,15,set,2020
117,www.infomoney.com.br/mercados/os-5-assuntos-que-vao-movimentar-o-mercado-nesta-terca-feira-150920/,15,set,2020
119,www.infomoney.com.br/mercados/petrobras-e-autorizada-substituir-nome-do-campo-de-lula/,15,set,2020
123,www.infomoney.com.br/mercados/acao-da-ser-salta-ate-14-apos-acordo-com-laureate-e-yduqs-tambem-dispara-oi-sobe-com-recomendacao-e-eletrobras-cai/,14,set,2020
125,www.infomoney.com.br/mercados/ibovespa-fecha-em-alta-de-19-e-retoma-os-100-mil-pontos-seguindo-exterior-dolar-cai-a-r-527/,14,set,2020
136,www.infomoney.com.br/onde-investir/negociacao-de-acoes-por-pessoas-fisicas-supera-a-de-investidor-institucional-pela-primeira-vez-desde-2010/,14,set,2020
147,www.infomoney.com.br/mercados/radar-infomoney-ser-educacional-compra-laureate-brasil-e-torna-se-o-quarto-maior-grupo-de-ensino-superior-do-pais/,14,set,2020
155,www.infomoney.com.br/mercados/ibovespa-sobe-com-retomada-de-testes-de-vacina-e-melhora-nos-eua-dolar-cai-a-r-530/,14,set,2020
162,www.infomoney.com.br/mercados/ibovespa-futuro-sobe-com-retomada-de-testes-de-vacina-recuperacao-dos-eua-e-atencao-a-indicadores/,14,set,2020
170,www.infomoney.com.br/mercados/ser-compra-laureate-no-brasil-por-r-4-bi-azul-recebe-proposta-de-financiamento-do-bndes-bbi-eleva-preco-alvo-de-oi-e-mais/,14,set,2020
174,www.infomoney.com.br/mercados/os-5-assuntos-que-vao-movimentar-o-mercado-nesta-segunda-feira-140920/,14,set,2020
187,www.infomoney.com.br/mercados/acoes-da-vale-saltam-com-anuncio-de-pagamento-de-proventos-petrobras-segue-queda-com-petroleo-e-biosev-tem-baixa/,11,set,2020
188,www.infomoney.com.br/mercados/ibovespa-fecha-em-queda-e-cai-28-na-semana-abaixo-dos-99-mil-pontos-dolar-sobe-05-em-5-dias/,11,set,2020
192,www.infomoney.com.br/colunistas/felippe-hermes/o-petroleo-e-nosso-mas-ele-ja-nao-vale-quase-nada/,11,set,2020
207,www.infomoney.com.br/mercados/ibovespa-sobe-com-vale-e-seguindo-tentativa-de-recuperacao-nos-eua-dolar-cai-a-r-527/,11,set,2020
230,www.infomoney.com.br/mercados/ibovespa-cai-24-perde-os-99-mil-pontos-e-bate-minima-em-quase-2-meses-pressionado-por-piora-das-bolsas-dos-eua-e-petroleo/,10,set,2020
232,www.infomoney.com.br/mercados/acoes-do-pao-de-acucar-saltam-19-com-estudo-para-cisao-do-assai-biosev-segue-ganhos-e-petrobras-cai-1/,10,set,2020
260,www.infomoney.com.br/mercados/ibovespa-cai-pressionado-por-petrobras-dis-sobem-em-meio-a-numeros-altos-de-varejo-e-inflacao/,10,set,2020
271,www.infomoney.com.br/politica/policia-federal-deflagra-novo-desdobramento-da-lava-jato-e-faz-buscas-na-sede-da-petrobras/,10,set,2020
273,www.infomoney.com.br/mercados/justica-nega-intervencao-imediata-na-vale-petz-capta-r-3-bi-no-maior-ipo-de-2020-raizen-confirma-conversa-com-biosev-e-mais/,10,set,2020
285,www.infomoney.com.br/mercados/acoes-de-siderurgicas-de-petrobras-e-de-e-commerce-sobem-em-sessao-de-recuperacao-oi-tem-alta-modesta-com-plano-aprovado/,9,set,2020
286,www.infomoney.com.br/mercados/ibovespa-fecha-em-alta-de-12-puxado-por-wall-street-e-recuperacao-do-petroleo-dolar-cai-a-r-530/,9,set,2020
310,www.infomoney.com.br/mercados/ibovespa-sobe-seguindo-wall-street-apos-as-fortes-baixas-dos-ultimos-pregoes-dolar-cai-a-r-532/,9,set,2020
312,www.infomoney.com.br/mercados/ibovespa-futuro-sobe-seguindo-correcao-em-wall-street-apos-sequencia-de-quedas-dolar-cai/,9,set,2020
315,www.infomoney.com.br/mercados/petrobras-inicia-fase-para-venda-de-ativo-na-bacia-de-santos-deutsche-eleva-gol-e-azul-plano-da-oi-aprovado-e-mais-noticias/,9,set,2020
319,www.infomoney.com.br/mercados/os-5-assuntos-que-vao-movimentar-o-mercado-nesta-quarta-feira-090920/,9,set,2020
325,www.infomoney.com.br/mercados/acoes-da-petrobras-caem-forte-seguindo-baixa-do-petroleo-varejistas-de-e-commerce-voltam-a-ter-baixa-e-oi-avanca-em-dia-de-assembleia/,8,set,2020
331,www.infomoney.com.br/mercados/petrobras-informa-reducao-de-5-nos-precos-do-diesel-e-da-gasolina/,8,set,2020
365,www.infomoney.com.br/mercados/expectativa-pela-assembleia-da-oi-vale-nao-chega-a-acordo-para-venda-de-ativo-3-noticias-de-petrobras-e-mais-noticias/,8,set,2020
394,www.infomoney.com.br/mercados/rotacao-continua-e-faz-acoes-de-bancos-e-aereas-subirem-e-de-varejistas-e-commerce-cairem-qualicorp-salta-ate-7/,4,set,2020
437,www.infomoney.com.br/mercados/acoes-da-vale-caem-3-com-mpf-pedindo-suspensao-de-dividendos-hering-e-embraer-lideram-ganhos-do-indice-e-bancos-sobem/,3,set,2020
482,www.infomoney.com.br/mercados/acoes-da-usiminas-saltam-csn-cai-e-carrefour-avanca-com-recomendacoes-fleury-sobe-5-com-lancamento-de-plataforma-de-saude/,2,set,2020
483,www.infomoney.com.br/mercados/ibovespa-fecha-em-leve-queda-na-contramao-de-wall-street-pressionado-por-vale-e-bancos-dolar-cai-a-r-535/,2,set,2020
492,www.infomoney.com.br/mercados/petrobras-reduz-diesel-em-6-e-gasolina-3-a-partir-de-amanha-nas-refinarias/,2,set,2020
508,www.infomoney.com.br/onde-investir/as-acoes-preferidas-dos-analistas-para-investir-em-setembro/,2,set,2020
510,www.infomoney.com.br/mercados/ibovespa-sobe-com-investidores-monitorando-reformas-no-brasil-dolar-e-dis-caem-apos-dado-frustrante-dos-eua/,2,set,2020
515,www.infomoney.com.br/mercados/ibovespa-futuro-sobe-com-noticiario-politico-e-expectativa-por-dados-dos-eua-dolar-avanca/,2,set,2020
521,www.infomoney.com.br/mercados/totvs-oferece-pagar-r-100-mi-a-linx-se-compra-for-vetada-estreia-de-lavvi-e-pague-menos-na-b3-recomendacoes-e-mais-noticias/,2,set,2020
522,www.infomoney.com.br/mercados/os-5-assuntos-que-vao-movimentar-o-mercado-nesta-quarta-feira-020920/,2,set,2020
523,www.infomoney.com.br/politica/camara-aprova-texto-base-de-abertura-do-mercado-de-gas/,2,set,2020
530,www.infomoney.com.br/mercados/acoes-de-petrobras-e-bancos-sobem-com-noticiario-domestico-mais-positivo-renner-tem-alta-de-5-apos-resultado/,1,set,2020
