idpalavra,COUNT(palavra_localizacao.idpalavra),palavra,polaridade_LIWC,polaridade_OpLexicon,polaridade_ReLiLex,polaridade_Sentilex,polaridade_WordnetBr
401,13369,presidente,0,0,0,0,0
68,11741,maior,1,0,0,0,0
501,10278,segundo,0,0,0,0,0
193,10005,ser,0,1,0,0,0
61,9821,fazer,0,0,0,0,0
62,9226,nova,0,1,0,0,0
45,7678,investir,1,-1,0,0,0
477,7359,relacionados,0,-1,0,0,0
48,7122,gratuito,0,0,0,0,0
42,7097,melhores,1,1,0,0,0
52,6868,conseguiu,1,0,0,0,0
57,6600,antigo,0,0,0,0,0
40,6499,recomendado,0,0,0,1,0
53,6490,extrair,0,0,0,0,0
56,6478,ganhava,1,0,0,0,0
451,5646,dados,0,0,0,0,0
558,4789,acordo,1,0,0,0,0
1203,4719,ter,0,0,0,0,0
634,4562,novo,0,1,1,0,0
3,4377,política,0,0,0,0,0
28,4278,queda,-1,0,0,0,0
1333,3835,nacional,0,0,0,0,0
266,3638,alta,0,0,0,0,0
222,3637,econômica,0,0,0,0,0
941,3577,xp,0,1,0,0,0
1139,3548,meio,0,0,0,0,0
426,3368,valor,1,0,0,0,0
465,3172,geral,0,0,0,0,0
761,3167,parte,1,0,0,0,0
921,3042,primeiro,0,0,0,0,0
2212,2994,analistas,0,0,0,0,0
323,2960,forma,1,0,0,0,0
1248,2938,saúde,1,0,0,0,0
111,2884,aumento,1,0,0,0,0
2602,2878,deputados,0,0,0,0,0
302,2799,risco,-1,0,0,0,0
973,2783,melhor,1,1,0,0,0
2304,2722,segunda,0,0,0,0,0
1443,2609,mundo,0,1,-1,0,0
151,2602,fiscal,0,0,0,0,0
200,2489,principais,1,0,0,0,0
2697,2483,poder,1,0,0,0,0
887,2468,fim,1,0,0,0,0
19,2429,decisão,1,0,0,0,0
749,2413,passado,0,-1,0,-1,0
469,2397,feita,0,1,0,0,0
848,2383,crédito,1,0,0,0,0
1053,2381,grande,1,0,1,0,0
235,2376,social,0,0,0,0,0
9978,2355,abra,1,0,0,0,0
185,2220,gastos,0,-1,0,0,0
1887,2211,unidos,0,1,0,0,0
7,2205,central,0,0,0,0,0
2472,2152,público,0,0,0,0,0
3370,2139,quer,1,0,0,0,0
758,2106,político,0,0,0,0,0
271,2034,preço,1,0,0,0,0
932,2032,pública,0,0,0,0,0
73,2030,bem,1,0,1,0,0
10,2002,quarta,0,0,0,0,0
143,1964,atual,0,0,1,0,0
129,1945,redução,-1,0,0,0,0
466,1939,proteção,1,0,0,0,0
79,1938,abaixo,-1,0,0,0,0
1662,1934,impacto,-1,-1,0,0,0
958,1924,próximos,0,0,0,0,0
994,1912,capital,0,-1,0,0,0
462,1900,gerais,1,0,0,0,0
2205,1877,especial,1,1,1,1,0
636,1812,primeira,0,0,0,0,0
223,1785,brasileira,0,0,0,0,0
207,1757,ativos,0,1,0,0,0
472,1755,erro,-1,0,-1,-1,0
252,1748,final,1,0,0,0,0
1364,1745,aprovação,1,0,0,0,0
470,1741,sucesso,1,0,0,1,0
216,1739,possível,0,0,0,0,0
1092,1725,forte,1,1,1,1,0
671,1722,brasileiro,0,0,0,0,0
187,1687,longo,0,0,0,0,0
550,1672,expectativa,1,0,0,0,1
251,1671,partir,-1,-1,0,0,0
3437,1637,justiça,0,0,0,1,0
1410,1632,quinta,0,0,0,0,0
452,1626,pessoais,0,0,0,0,0
2592,1618,lucro,1,0,0,0,0
2784,1615,futuro,0,0,0,0,0
2521,1612,financeiro,0,0,0,0,0
454,1607,utilizados,0,0,0,0,0
2901,1603,sexta,0,0,0,0,0
174,1597,menor,-1,0,0,0,0
2012,1586,total,0,0,0,0,0
860,1579,dívida,0,0,0,0,-1
3242,1560,importante,1,1,1,0,0
1623,1536,econômico,0,0,0,1,0
1339,1528,partido,-1,-1,0,-1,0
1085,1517,pouco,0,-1,0,0,0
450,1488,concordo,1,0,0,0,0
1457,1486,tributária,0,1,0,0,0
120,1484,última,0,0,0,0,0
1527,1483,maiores,1,0,0,0,0
473,1478,inesperado,0,0,0,0,0
459,1473,publicitário,0,0,0,0,0
1252,1455,plano,0,0,0,0,0
3603,1454,deputado,0,0,0,0,0
2601,1437,parlamentares,0,-1,0,0,0
3718,1432,segurança,1,0,0,1,0
