idurl,url,autor,dia,mes,ano
1,www.infomoney.com.br/-/banco-central-interrompe-sequencia-de-cortes-e-mantem-juros-em-2-ao-ano/," Equipe InfoMoney ",16,set,2020
2,www.infomoney.com.br/-/fed-mantem-juros-e-ve-taxa-perto-de-zero-pelo-menos-ate-2023/," Equipe InfoMoney ",16,set,2020
3,www.infomoney.com.br/-/em-carta-a-mourao-paises-da-europa-cobram-contencao-do-desmatamento-na-amazonia/," Estadão Conteúdo ",16,set,2020
4,www.infomoney.com.br/-/argentina-aumenta-limite-para-compra-de-dolares-e-cria-novo-imposto-para-gastos-na-moeda/," Equipe InfoMoney ",16,set,2020
5,www.infomoney.com.br/-/para-44-dos-gestores-de-fundos-multimercados-selic-so-deve-subir-a-partir-do-1o-trimestre-de-2022/," Beatriz Cutait ",16,set,2020
6,www.infomoney.com.br/colunistas/alexandre-schwartsman/ladeira-da-memoria/," Alexandre Schwartsman ",16,set,2020
7,www.infomoney.com.br/-/igp-10-acelera-alta-para-434-em-setembro-com-forte-avanco-de-precos-no-atacado/," Estadão Conteúdo ",16,set,2020
8,www.infomoney.com.br/-/yoshihide-suga-e-eleito-novo-primeiro-ministro-do-japao/," ANSA Brasil ",16,set,2020
9,www.infomoney.com.br/-/carga-tributaria-elevada-no-setor-de-telecomunicacoes-pode-dificultar-desenvolvimento-do-5g-no-pais/," Pablo Santana ",16,set,2020
10,www.infomoney.com.br/-/europa-lanca-ampla-revisao-economica-em-novo-plano-climatico/," Bloomberg ",16,set,2020
11,www.infomoney.com.br/-/ocde-reduz-previsao-de-queda-do-pib-global-em-2020-de-6-para-45/," Estadão Conteúdo ",16,set,2020
12,www.infomoney.com.br/-/com-excesso-de-cafe-brasil-esta-sem-espaco-para-armazenar-graos/," Bloomberg ",16,set,2020
13,www.infomoney.com.br/-/bc-e-fed-o-que-esperar-das-decisoes-de-politica-monetaria-na-volta-da-super-quarta-para-o-mercado/," Lara Rizério ",15,set,2020
14,www.infomoney.com.br/-/paises-da-america-latina-terao-desafios-significativos-na-consolidacao-fiscal-diz-fitch/," Estadão Conteúdo ",15,set,2020
15,www.infomoney.com.br/-/cartao-vermelho-nao-foi-para-mim-diz-guedes-sobre-fim-do-renda-brasil/," Giovanna Sutto,  Priscila Yazbek ",15,set,2020
16,www.infomoney.com.br/colunistas/panorama-politico/o-novo-recado-de-bolsonaro-a-equipe-economica/," XP Política ",15,set,2020
17,www.infomoney.com.br/-/julgamento-no-stf-pode-ter-impacto-de-r-235-bilhoes-anuais-na-previdencia-diz-economista/," Estadão Conteúdo ",15,set,2020
18,www.infomoney.com.br/-/ministerio-da-economia-mantem-projecao-para-queda-do-pib-em-2020-em-47-e-eleva-expectativa-para-ipca-a-183/," Estadão Conteúdo ",15,set,2020
19,www.infomoney.com.br/colunistas/um-brasil/brasil-passou-da-total-irresponsabilidade-fiscal-para-uma-obsessao-pelo-orcamento-equilibrado-diz-andre-lara-resende/," Um Brasil ",15,set,2020
20,www.infomoney.com.br/mercados/apetite-da-china-por-petroleo-deve-ser-maior-do-que-parece/," Bloomberg ",15,set,2020
21,www.infomoney.com.br/politica/bancada-evangelica-diz-ter-votos-para-derrubar-veto-de-bolsonaro-a-dividas-de-igrejas/," Estadão Conteúdo ",15,set,2020
22,www.infomoney.com.br/-/estrategista-diz-que-inflacao-desaparecera-em-alguns-emergentes-incluindo-no-brasil/," Bloomberg ",14,set,2020
23,www.infomoney.com.br/mercados/petroleira-bp-declara-fim-de-uma-era-periodo-de-demanda-por-petroleo-em-expansao-acabou/," Bloomberg ",14,set,2020
24,www.infomoney.com.br/mercados/ser-pode-se-transformar-com-aquisicao-da-laureate-no-brasil-e-acao-dispara-mas-yduqs-entra-no-caminho/," Lara Rizério ",14,set,2020
25,www.infomoney.com.br/-/inflacao-dos-mais-pobres-sobe-com-alimentos-e-a-dos-mais-ricos-cai-diz-ipea/," Estadão Conteúdo ",14,set,2020
26,www.infomoney.com.br/-/pericias-agendadas-no-inss-sao-suspensas-apos-medicos-nao-retornarem-ao-trabalho/," Equipe InfoMoney ",14,set,2020
27,www.infomoney.com.br/-/vamos-entrar-em-rota-de-implosao-fiscal-diz-guedes-sobre-novo-fundo-a-estados/," Estadão Conteúdo ",14,set,2020
